2004,Porto,Once Caldas
2003,Boca Juniors,Milan
2002,Real Madrid,Olimpia
2001,Bayern München,Boca Juniors
2000,Boca Juniors,Real Madrid
1999,Manchester United,Palmeiras
1998,Real Madrid,Vasco da Gama
1997,Borussia Dortmund,Cruzeiro
1996,Juventus,River Plate
1995,Ajax Amsterdam,Gremio
1994,Velez Sarsfield,Milan
1993,Sao Paulo,Milan
1992,Sao Paulo,Barcelona
1991,Crvena Zvezda,Colo Colo
1990,Milan,Olímpia
1989,Milan,Atletico Nacional 
1988,Nacional ,PSV Eindhoven
1987,Porto,Penarol
1986,River Plate,Steaua Bucarest
1985,Juventus,Argentinos Juniors
1984,Independiente,Liverpool
1983,Gremio,Hamburgo
1982,Penarol,Aston Villa
1981,Flamengo,Liverpool
1980,Nacional ,Nottingham Forest
1979,Olímpia,Malmo
1978,nao houve disputa,null
1977,Boca Juniors,Borussia Mgladbach
1976,Bayern München,Cruzeiro
1975,nao houve disputa,null
1974,Atletico de Madrid,Independiente
1973,Independiente,Juventus
1972,Ajax Amsterdan,Independiente
1971,Nacional ,Panathinaikos
1970,Feyenoord,Estudiantes
1969,Milan,Estudiantes
1968,Estudiantes,Manchester United
1967,Racing,Celtic Glasgow
1966,Penarol,Real Madrid
1965,Internazionale,Independiente
1964,Internazionale,Independiente
1963,Santos,Milan
1962,Santos,Benfica
1961,Penarol,Benfica
1960,Real Madrid,Penarol
