 2018, Real Madrid (ESP), Al Ain FC (EAU)
 2017, Real Madrid (ESP), Grêmio (BRA)
 2016, Real Madrid (ESP), Kashima Antlers (JAP)
 2015, Barcelona (ESP), River Plate (ARG)
 2014, Real Madrid (ESP), San Lorenzo (ARG)
 2013, Bayern Munchen (ALE), Raja Casablanca (MAR)
 2012, Corinthians (BRA), Chelsea (ING)
 2011, FC Barcelona (ESP), Santos FC (BRA)
 2010, Internazionale Milano (ITA), TP Mazembe (RD Congo)
 2009, Barcelona (ESP), Estudiantes La Plata (ARG)
 2008, Manchester United (ING), LDU Quito (EQU)
 2007, Milan (ITA), Boca Juniors (ARG)
 2006, Internacional (BRA), Barcelona (ESP)
 2005, São Paulo (BRA), Liverpool (ING)
 2000, Corinthians (BRA), Vasco da Gama (BRA)
